2025-07-21 15:35:21.667 | CONFIG  | Thread-3  | InventoryLoggingDemo | Logging configuration completed successfully
2025-07-21 15:35:21.698 | INFO    | Thread-3  | InventoryLoggingDemo | === INVENTORY MANAGEMENT SYSTEM STARTED ===
2025-07-21 15:35:21.699 | CONFIG  | Thread-3  | InventoryLoggingDemo | Java version: 24.0.2
2025-07-21 15:35:21.699 | CONFIG  | Thread-3  | InventoryLoggingDemo | Operating system: Linux
2025-07-21 15:35:21.711 | INFO    | Thread-3  | InventoryManager | InventoryManager initialized with thread pool size: 5
2025-07-21 15:35:21.713 | CONFIG  | Thread-3  | InventoryManager | Initial inventory capacity: 0
2025-07-21 15:35:21.714 | INFO    | Thread-3  | InventoryLoggingDemo | Creating sample inventory...
2025-07-21 15:35:21.716 | INFO    | Thread-3  | Product         | New product created: [ID=LAPTOP001, Name=Gaming Laptop, Category=Electronics, Price=1299.99, Quantity=15]
2025-07-21 15:35:21.717 | INFO    | Thread-3  | Product         | New product created: [ID=MOUSE001, Name=Wireless Mouse, Category=Electronics, Price=29.99, Quantity=50]
2025-07-21 15:35:21.718 | INFO    | Thread-3  | Product         | New product created: [ID=KEYB001, Name=Mechanical Keyboard, Category=Electronics, Price=89.99, Quantity=25]
2025-07-21 15:35:21.719 | INFO    | Thread-3  | Product         | New product created: [ID=CHAIR001, Name=Office Chair, Category=Furniture, Price=199.99, Quantity=8]
2025-07-21 15:35:21.720 | INFO    | Thread-3  | Product         | New product created: [ID=DESK001, Name=Standing Desk, Category=Furniture, Price=399.99, Quantity=5]
2025-07-21 15:35:21.720 | INFO    | Thread-3  | Product         | New product created: [ID=BOOK001, Name=Java Programming Guide, Category=Books, Price=45.99, Quantity=30]
2025-07-21 15:35:21.721 | INFO    | Thread-3  | Product         | New product created: [ID=PEN001, Name=Blue Ballpoint Pen, Category=Office Supplies, Price=1.99, Quantity=100]
2025-07-21 15:35:21.724 | INFO    | Thread-3  | InventoryManager | Product added to inventory: LAPTOP001
2025-07-21 15:35:21.724 | FINE    | Thread-3  | InventoryManager | Total products in inventory: 1
2025-07-21 15:35:21.729 | FINE    | Thread-3  | InventoryManager | Products in category 'Electronics': 1
2025-07-21 15:35:21.730 | INFO    | Thread-3  | InventoryManager | Product added to inventory: MOUSE001
2025-07-21 15:35:21.731 | FINE    | Thread-3  | InventoryManager | Total products in inventory: 2
2025-07-21 15:35:21.731 | FINE    | Thread-3  | InventoryManager | Products in category 'Electronics': 2
2025-07-21 15:35:21.731 | INFO    | Thread-3  | InventoryManager | Product added to inventory: KEYB001
